Rk,Player,G,Sk,Sfty,Tgt,Def%,Fmb,Int,RtY,KRTD,PRTD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Ret,Yds,Y/Ret,KRTD,Ret,Yds,Y/Ret,PRTD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Touch,TotOff,YScm,APYd,RtY,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
1,Jamal Adams,1,0,0,2,1.3,0,0,0,0,0,2022,27,SEA,1,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,39.6,8.5,0,0,1,0,1,0,1,0,0,0,0,15,1.3,0,0,S
2,Breon Borders,1,0,0,0,0,0,0,0,0,0,2022,27,CHI,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,9,2.1,DB
3,T.J. Carter,1,0,0,0,0.6,0,0,0,0,0,2022,23,LAR,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,6,0.6,30,6.7,CB
4,Tyler Coyle,1,0,0,4,1.8,0,0,0,0,0,2022,24,DAL,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,75,39,13,9.8,0,105.2,3.5,14,25,0,0,0,0,0,0,0,0,0,21,1.8,21,4.4,S
5,Carlos Davis,1,1,0,0,1.1,0,0,0,0,0,2022,26,PIT,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,0,0,0,0,12,1.1,1,0.2,CB
6,Kyle Fuller,1,0,0,7,7.3,0,0,0,0,0,2022,30,BAL,1,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,42.9,23,7.7,3.3,0,51.5,6.3,23,0,0,0,0,0,0,1,25,0,0,80,7.3,0,0,CB
7,Don Gardner,1,0,0,0,0,0,0,0,0,0,2022,25,TAM,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,14,3,CB
8,Clark Harris,1,0,0,0,0,0,0,0,0,0,2022,38,CIN,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,4,0.9,LS
9,Chris Jackson,1,0,0,4,2.1,0,0,0,0,0,2022,24,TEN,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50,20,10,5,1,104.2,11.8,15,5,0,0,0,0,0,1,50,0,0,24,2.1,5,1.1,S
10,Gregory Junior,1,0,0,5,1.5,0,0,0,0,0,2022,23,JAX,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,60,41,13.7,8.2,0,86.2,12,37,4,0,0,0,0,0,0,0,0,0,18,1.5,5,1.2,CB
11,Richard LeCounte,1,0,0,0,0,0,0,0,0,0,2022,24,CLE,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,11,2.5,S
12,Ja'Quan McMillian,1,0,0,12,5.9,0,0,0,0,0,2022,22,DEN,1,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,50,94,15.7,7.8,0,76.4,10.3,43,51,0,0,0,0,0,1,12.5,0,0,68,5.9,0,0,CB
13,A.J. Moore,1,0,0,0,0,0,0,0,0,0,2022,27,TEN,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,5,1.1,S
14,Quandre Mosely,1,0,0,0,0.1,0,0,0,0,0,2022,23,NWE,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,1,0.1,0,0,DB
15,Ryan Smith,1,0,0,0,0,0,0,0,0,0,2022,29,TAM,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,12,2.6,CB
16,Saivion Smith,1,0,0,0,0.2,0,0,0,0,0,2022,25,DET,1,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,S
17,Trenton Thompson,1,0,0,0,0,0,0,0,0,0,2022,25,NYG,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,12,2.5,S
18,Quincy Wilson,1,0,0,0,1,0,0,0,0,0,2022,26,PIT,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,11,1,5,1.1,CB
19,Micah Abernathy,2,0,0,0,0.1,0,0,0,0,0,2022,25,GNB,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0.1,13,3,S
20,Troy Apke,2,0,0,0,0,0,0,0,0,0,2022,27,WAS,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6.9,CB
21,Kalon Barnes,2,0,0,0,0,0,0,0,0,0,2022,24,MIN,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,9,1.8,CB
22,Hunter Bradley,2,0,0,0,0,0,0,0,0,0,2022,28,ARI,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,13,2.9,LS
23,Brady Breeze,2,0,0,0,0.4,0,0,0,0,0,2022,25,DET,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,4,0.4,40,8.9,DB
24,Tariq Castro-Fields,2,0,0,0,0.6,0,0,0,0,0,2022,23,WAS,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,6,0.6,13,2.8,CB
25,Adrian Colbert,2,0,0,0,0,0,0,0,0,0,2022,29,CHI,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,20,4.6,DB
26,Trevor Denbow,2,0,0,0,0,0,0,0,0,0,2022,24,IND,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,31,6.8,S
27,DaMarcus Fields,2,0,0,0,0,0,0,0,0,0,2022,24,NOR,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,26,5.8,DB
28,Nate Hairston,2,0,0,0,0.3,0,0,0,0,0,2022,28,ARI,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,3,0.3,26,5.7,DB
29,Kemon Hall,2,0,0,0,0,0,0,0,0,0,2022,25,LAC,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7.1,CB
30,Faion Hicks,2,0,0,0,0,0,0,0,0,0,2022,25,DEN,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,30,6.3,CB
31,Micah Hyde,2,0,0,3,9.6,0,0,0,0,0,2022,32,BUF,2,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.7,17,8.5,5.7,0,81.2,9,-1,18,1,0,0,0,0,0,0,0,0,101,9.6,3,0.7,S
32,Ja'Marcus Ingram,2,0,0,5,4.2,0,0,0,0,0,2022,25,BUF,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40,38,19,7.6,0,67.1,10.4,24,14,0,0,0,0,0,0,0,0,0,44,4.2,12,2.9,CB
33,Jackrabbit Jenkins,2,0,0,2,2.9,0,0,0,0,0,2022,34,SFO,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,22,11,11,0,112.5,7.5,15,7,0,0,0,0,0,1,25,0,0,31,2.9,27,6.2,DB
34,Dontae Johnson,2,0,0,0,1.7,0,0,0,0,0,2022,31,SFO,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,18,1.7,16,3.7,CB
35,Shaun Jolly,2,0,0,0,0,0,0,0,0,0,2022,24,LAR,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,6,1.3,S
36,Elijah Molden,2,0,0,3,7,0,0,0,0,0,2022,23,TEN,2,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33.3,9,9,3,0,42.4,13,2,7,2,0,1,0,1,0,0,0,0,82,7,5,1.1,CB
37,Josh Norman,2,0,0,8,6.1,0,0,0,0,0,2022,35,CAR,2,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,75,87,14.5,10.9,1,149.5,10.6,42,45,0,0,0,0,0,0,0,0,0,70,6.1,0,0,CB
38,Xavier Rhodes,2,0,0,7,3.3,0,0,0,0,0,2022,32,"BUF,DAL",2,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,71.4,49,9.8,7,0,90.8,8.7,36,13,0,0,0,0,0,2,33.3,0,0,72,3.3,0,0,CB
39,Nickell Robey-Coleman,2,0,0,1,1.2,0,0,0,0,0,2022,30,LVR,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,0,0,0,3,0,0,0,0,0,,0,0,14,1.2,2,0.4,CB
40,Aaron Robinson,2,0,0,6,6.4,0,0,0,0,0,2022,24,NYG,2,2,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,33.3,28,14,4.7,0,49.3,18.5,19,9,0,0,0,0,0,0,0,0,0,72,6.4,17,3.6,CB
41,Greg Stroman,2,0,0,6,6.4,0,1,0,0,0,2022,26,CHI,2,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,4,8,0,0,1,10,0,1,0,0,0,0,0,0,0,0,10,0,6,4,66.7,28,7,4.7,0,37.5,10.7,22,6,0,0,0,0,0,0,0,0,0,70,6.4,19,4.4,DB
42,Josh Thomas,2,0,0,0,1.3,0,0,0,0,0,2022,26,ARI,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,14,1.3,19,4.2,S
43,Jarren Williams,2,0,0,0,0,0,0,0,0,0,2022,25,DET,2,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,19,4.2,CB
44,Tucker Addington,3,0,0,0,0,0,0,0,0,0,2022,25,NWE,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,24,5.3,LS
45,Ugo Amadi,3,0,0,4,2.4,0,0,0,0,0,2022,25,"KAN,TEN",3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,75,19,6.3,4.8,0,84.4,-0.3,2,17,5,0,0,0,0,2,25,0,0,56,2.4,9,1,DB
46,Darrell Baker,3,0,0,0,0,0,0,0,0,0,2022,24,IND,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,7,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,31,6.8,CB
47,Marquise Blair,3,0,0,0,0.1,0,0,0,0,0,2022,25,CAR,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0.1,25,5.3,DB
48,Joshuah Bledsoe,3,0,0,4,1.9,0,0,0,0,0,2022,24,NWE,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50,17,8.5,4.3,2,101,19.3,17,0,2,0,0,0,0,0,0,0,0,22,1.9,7,1.5,S
49,Mike Brown,3,0,0,0,0,0,0,0,0,0,2022,23,CLE,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,55,12.4,S
50,Artie Burns,3,0,0,1,1.4,0,0,0,0,0,2022,27,SEA,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,19,0,0,0,0,0,0,0,0,,0,0,16,1.4,8,1.7,CB
51,Lewis Cine,3,0,0,0,0.2,0,0,0,0,0,2022,23,MIN,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,2,0.2,34,6.9,S
52,Jordan Fuller,3,0,0,7,8.4,0,0,0,0,0,2022,24,LAR,3,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,9,3,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,71.4,42,8.4,6,0,86.6,3.9,32,10,0,0,0,0,0,1,7.7,0,0,91,8.4,17,3.8,DB
53,Zyon Gilbert,3,1,0,8,6.5,0,0,0,0,0,2022,23,NYG,3,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,10,4,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,87.5,73,10.4,9.1,1,144.3,4.6,18,55,3,0,0,0,1,0,0,0,0,73,6.5,28,5.9,CB
54,Tyree Gillespie,3,0,0,0,0,0,0,0,0,0,2022,24,JAX,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,28,6.6,S
55,Tay Gowan,3,0,0,0,0,0,0,0,0,0,2022,24,MIN,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,15,3,CB
56,Anthony Harris,3,0,0,0,0,0,0,0,0,0,2022,31,DEN,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,43,9,S
57,Jovante Moffatt,3,0,0,0,0,0,0,0,0,0,2022,26,ATL,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,55,12.6,S
58,AJ Parker,3,0,0,11,9.9,0,0,0,0,0,2022,24,DET,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,10,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,81.8,150,16.7,13.6,1,149.1,12.8,95,55,0,0,0,0,0,0,0,0,0,113,9.9,12,2.7,DB
59,Will Redmond,3,0,0,0,0,0,0,0,0,0,2022,29,HOU,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10.8,CB
60,John Reid,3,0,0,4,3.3,0,0,0,0,0,2022,26,TEN,3,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,100,35,8.8,8.8,0,103.1,4.8,19,16,1,0,1,0,1,0,0,0,0,38,3.3,3,0.7,S
61,Deionte Thompson,3,0,0,0,0.5,0,0,0,0,0,2022,25,ARI,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,6,0.5,49,10.8,S
62,Stantley Thomas-Oliver,3,0,0,0,0,0,0,0,0,0,2022,24,CAR,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9.8,CB
63,Shaun Wade,3,0,0,6,1.6,0,0,0,0,0,2022,24,NWE,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,66.7,41,10.3,6.8,1,125.7,5,23,18,0,0,0,0,0,0,0,0,0,18,1.6,3,0.7,CB
64,Tracy Walker,3,1,0,4,12.3,0,0,0,0,0,2022,27,DET,3,3,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,1,11,9,20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,25,13,13,3.3,0,40.6,26,3,10,7,0,0,1,1,0,0,0,0,140,12.3,13,2.9,S
65,Ar'Darius Washington,3,0,0,1,2.3,0,0,0,0,0,2022,23,BAL,3,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,11,11,11,0,112.5,11,11,0,2,1,0,0,1,0,0,0,0,25,2.3,23,5.3,S
66,Rodarius Williams,3,0,0,16,13,0,1,0,0,0,2022,26,NYG,3,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,15,0,15,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,16,11,68.8,151,13.7,9.4,0,72.7,8.8,62,89,0,0,0,0,0,2,11.8,0,0,147,13,6,1.3,CB
67,Jalyn Armour-Davis,4,0,0,12,4.6,0,0,0,0,0,2022,23,BAL,4,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,11,91.7,226,20.5,18.8,2,158.3,12.5,135,91,1,0,0,0,0,3,33.3,0,0,50,4.6,57,13.2,CB
68,Dicaprio Bootle,4,0,0,2,1,0,0,0,0,0,2022,25,KAN,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,39.6,11.5,0,0,0,0,0,0,0,0,0,0,0,11,1,31,6.7,DB
69,Mitchell Fraboni,4,0,0,0,0,0,0,0,0,0,2022,26,DEN,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8.3,LS
70,Allan George,4,0,0,4,3.5,0,0,0,0,0,2022,23,CIN,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,75,30,10,7.5,0,95.8,7.5,23,7,0,0,0,0,0,0,0,0,0,36,3.5,20,4.6,CB
71,Javelin Guidry,4,0,0,3,1.6,0,0,0,0,0,2022,24,LVR,4,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,14,4.7,4.7,2,125.7,4.3,13,1,0,0,0,0,0,1,100,0,0,18,1.6,39,8.6,CB
72,Grant Haley,4,0,0,14,11.8,0,0,0,0,0,2022,26,LAR,4,1,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,7,5,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,8,57.1,59,7.4,4.2,0,67.3,6.5,22,37,0,0,0,0,0,2,14.3,0,0,129,11.8,26,5.8,DB
