Rk,Player,G,TD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos
1,Austin Seibert,1,0,2023,27,NYJ,1,0,0,1,1,100,1,1,100,0,0,4,K
2,Matthew Wright,1,0,2023,27,CAR,1,0,0,0,0,,0,1,0,0,0,0,K
3,Mason Crosby,3,0,2023,39,NYG,3,0,0,6,7,85.7,5,7,71.4,0,0,21,K
4,Michael Badgley,4,0,2023,28,DET,4,0,0,13,15,86.7,4,4,100,0,0,25,K
5,Ty Zentner,4,0,2023,25,HOU,4,0,0,0,0,,0,0,,0,0,0,K
6,Matt Ammendola,5,0,2023,27,HOU,5,0,0,10,11,90.9,6,9,66.7,0,0,28,K
7,Randy Bullock,6,0,2023,34,NYG,6,0,0,10,10,100,5,6,83.3,0,0,25,K
8,Graham Gano,8,0,2023,36,NYG,8,0,0,8,8,100,11,17,64.7,0,0,41,K
9,Brett Maher,8,0,2023,34,LAR,8,0,0,13,15,86.7,17,23,73.9,0,0,64,K
10,Lucas Havrisik,9,0,2023,24,LAR,9,0,0,19,22,86.4,15,20,75,0,0,64,K
11,Ka'imi Fairbairn,12,0,2023,29,HOU,12,0,0,21,22,95.5,27,28,96.4,0,0,102,K
12,Dustin Hopkins,15,0,2023,33,CLE,15,0,0,24,26,92.3,33,36,91.7,0,0,123,K
13,Riley Patterson,15,0,2023,24,"CLE,DET",15,0,0,41,44,93.2,16,18,88.9,0,0,89,K
14,Eddy Piñeiro,15,0,2023,28,CAR,15,0,0,17,20,85,25,29,86.2,0,0,92,K
15,Greg Zuerlein,16,0,2023,36,NYJ,16,0,0,15,16,93.8,35,38,92.1,0,0,120,K
16,Brandon Aubrey,17,0,2023,28,DAL,17,0,0,49,52,94.2,36,38,94.7,0,0,157,K
17,Tyler Bass,17,0,2023,26,BUF,17,0,0,49,50,98,24,29,82.8,0,0,121,K
18,Chris Boswell,17,0,2023,32,PIT,17,0,0,27,28,96.4,29,31,93.5,0,0,114,K
19,Harrison Butker,17,0,2023,28,KAN,17,0,0,38,38,100,33,35,94.3,0,0,137,K
20,Anders Carlson,17,0,2023,25,GNB,17,0,0,34,39,87.2,27,33,81.8,0,0,115,K
21,Daniel Carlson,17,0,2023,28,LVR,17,0,0,32,32,100,26,30,86.7,0,0,110,K
22,Cameron Dicker,17,0,2023,23,LAC,17,0,0,35,35,100,31,33,93.9,0,0,128,K
23,Jake Elliott,17,0,2023,28,PHI,17,0,0,45,46,97.8,30,32,93.8,0,0,135,K
24,Nick Folk,17,0,2023,39,TEN,17,0,0,28,30,93.3,29,30,96.7,0,0,115,K
25,Matt Gay,17,0,2023,29,IND,17,0,0,35,36,97.2,33,41,80.5,0,0,134,K
26,Blake Grupe,17,0,2023,25,NOR,17,0,0,40,40,100,30,37,81.1,0,0,130,K
27,Greg Joseph,17,0,2023,29,MIN,17,0,0,36,38,94.7,24,30,80,0,0,108,K
28,Younghoe Koo,17,0,2023,29,ATL,17,0,0,27,28,96.4,32,37,86.5,0,0,123,K
29,Wil Lutz,17,0,2023,29,DEN,17,0,0,29,31,93.5,30,34,88.2,0,0,119,K
30,Chase McLaughlin,17,0,2023,27,TAM,17,0,0,33,33,100,29,31,93.5,0,0,120,K
31,Brandon McManus,17,0,2023,32,JAX,17,0,0,35,35,100,30,37,81.1,0,0,125,K
32,Evan McPherson,17,0,2023,24,CIN,17,0,0,40,40,100,26,31,83.9,0,0,118,K
33,Jake Moody,17,0,2023,24,SFO,17,0,0,60,61,98.4,21,25,84,0,0,123,K
34,Jason Myers,17,0,2023,32,SEA,17,0,0,33,33,100,35,42,83.3,0,0,138,K
35,Matt Prater,17,0,2023,39,ARI,17,0,0,22,23,95.7,28,33,84.8,0,0,106,K
36,Chad Ryland,17,0,2023,24,NWE,17,0,0,24,25,96,16,25,64,0,0,72,K
37,Jason Sanders,17,0,2023,28,MIA,17,0,0,58,59,98.3,24,28,85.7,0,0,130,K
38,Cairo Santos,17,0,2023,32,CHI,17,0,0,31,33,93.9,35,38,92.1,0,0,136,K
39,Joey Slye,17,0,2023,27,WAS,17,0,0,32,35,91.4,19,24,79.2,0,0,89,K
40,Justin Tucker,17,0,2023,34,BAL,17,0,0,51,52,98.1,32,37,86.5,0,0,147,K
,,,,,,,,,,,,,,,,,,,